X,Y,fid_1,fid,objet,description,photo,icon_url
-0.36471514987672,49.1894965606098,"16",,Espace détente ,3 fauteuils ,DCIM/JPEG_20240311100052191.JPG,./0.png
-0.364886114272007,49.1894226926857,"17",,Direction des études et de la vie étudiante ,"Bâtiment B, Etage RDC",DCIM/JPEG_20240311100346407.JPG,./0.png
-0.364838917799754,49.189282455213,"18",,BVE,"Bâtiment B, Etage RDC",DCIM/JPEG_20240311100531252.JPG,./0.png
-0.364790445376045,49.1890892896519,"19",,Relais handicap santé ,"Bâtiment B, Etage RDC",DCIM/JPEG_20240311101619145.JPG,./0.png
-0.364600308751409,49.1892264194659,"20",,Espace orientation insertion ,"Bâtiment B, Etage RDC",DCIM/JPEG_20240311101913910.JPG,./0.png
-0.364915813021699,49.189466443457,"21",,Cafétéria ,Table intérieure et extérieure ,DCIM/JPEG_20240311102304984.JPG,./0.png
-0.364864524154921,49.1894161538442,"22",,Distributeurs,"Friandises,  boisson,  café ",DCIM/JPEG_20240311102422967.JPG,./0.png
-0.364765125490433,49.1891427443483,"23",,Reprographie ,"Bâtiment B, Etage -1-1",DCIM/JPEG_20240311102726616.JPG,./0.png
-0.364924407753972,49.1891915670322,"24",,Banc,4 banc sans dossier ,DCIM/JPEG_20240311102924620.JPG,./0.png
-0.365015498137397,49.1893460814585,"25",,Table à pique-nique ,8 tables ,DCIM/JPEG_20240311103012311.JPG,./0.png
-0.365182777016164,49.1893144687384,"26",,Banc ,6 banc avec dossier ,DCIM/JPEG_20240311103122965.JPG,./0.png
-0.36503481386213,49.1894588327432,"27",,Banc,3 banc sans dossier ,DCIM/JPEG_20240311103224792.JPG,./0.png
-0.364061995353783,49.1894900474497,"28",,Test,,,./0.png
-0.364887902488635,49.1896636258057,"29",,Espace de travail ,"Bâtiment B, Etage 1",DCIM/JPEG_20240311114616429.JPG,./0.png
-0.364831418685027,49.1893834551978,"30",,Espace de travail ,"Bâtiment B, Etage 1 8 salles de travails",DCIM/JPEG_20240311114836250.JPG,./0.png
-0.364798955629575,49.1893809827285,"31",,Espace détente ,"Bâtiment B, Etage 1, 4 pouf ",,./0.png
-0.364616255081979,49.1891054397692,"32",,Espace de travail ,"Bâtiment B, Etage 1 ",DCIM/JPEG_20240311115101951.JPG,./0.png
-0.364787119470381,49.1893882189756,"33",,Espace de travail ,"Bâtiment B, Etage 2 , 2 bancs, 3 pouf, 5 salles ",,./0.png
-0.364860011216548,49.189651691996,"34",,Espace de travail ,"Bâtiment B, Etage 2",DCIM/JPEG_20240311115706035.JPG,./0.png
-0.364859050014026,49.189425639999,"35",,Espace détente ,"Bâtiment B, Etage 3, tables , 7 assis, fauteuils, chaises",DCIM/JPEG_20240311120233158.JPG,./0.png
-0.365372252336051,49.1904966384084,"36",,Espace de travail et de détente ,"Bâtiment D, Etage 3 ",,./0.png
-0.365430163164037,49.1905024532858,"37",,Espace de travail et de détente ,"Batiment D, Etage 2, Siège et tables ",,./0.png
-0.365347939524473,49.1905042973961,"38",,Espace de travail et de détente ,"Bâtiment D, Etage 1tabes siège ",,./0.png
-0.365612010381212,49.1908959760409,"39",,Centre de documentation ,"Bâtiment D, Etage 1",DCIM/JPEG_20240311123414870.JPG,./0.png
-0.365324702050784,49.190055998322,"40",,Table à pique-nique ,3 tables ,DCIM/JPEG_20240311125458916.JPG,./0.png
-0.365228909907792,49.1901209661969,"41",,BU,Bâtiment C,DCIM/JPEG_20240311125601622.JPG,./0.png
-0.365245499118003,49.1901412786279,"42",,Salle de détente ,"Batiment C, Etage RDC, Tables , siège ",DCIM/JPEG_20240311125844974.JPG,./0.png
-0.365220457283208,49.1901317716039,"43",,Distributeurs,"Bâtiment C, Etage RDC, café, boisson, friandises ",DCIM/JPEG_20240311125958699.JPG,./0.png
-0.365118096248356,49.1901284856608,"44",,Concon sieste ,"Bâtiment C, Etage 5",DCIM/JPEG_20240311130617471.JPG,./0.png
